date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees
2013/06/27,58485818.5472,45351.0,1179110000.0,101.44,0.0,4700.0,38.72340514,
2013/06/28,49508909.9448,46332.0,1153880000.0,94.65,0.0,4150.0,32.65156561,
2013/06/29,52492475.1996,48777.0,1074010000.0,94.99,0.0,4275.0,47.75314975,
2013/06/30,52525952.7657,37949.0,1078260000.0,96.61,0.0,3950.0,25.1261887,
2013/07/01,32534082.6196,32088.0,1107130000.0,88.05,0.0,3950.0,30.26636173,
2013/07/02,64418653.4592,36031.0,1000070000.0,90.13,0.0,3950.0,22.29746409,
2013/07/03,58984360.3073,40821.0,1027160000.0,77.53,0.0,3825.0,35.68964129,
2013/07/04,58918973.3014,35507.0,896693000.0,80.53,0.0,4625.0,29.48523635,
2013/07/05,60474420.6982,35434.0,909526000.0,68.43,0.0,4050.0,22.16351472,
2013/07/06,63792103.4277,36450.0,779255000.0,70.28,0.0,4475.0,33.4891456,
2013/07/07,50143364.9525,35431.0,782352000.0,74.56,0.0,4750.0,30.92358948,
2013/07/08,50158280.2719,29566.0,870912000.0,76.52,0.0,4850.0,17.77253004,
2013/07/09,52951515.8294,36817.0,865585000.0,76.69,0.0,4550.0,31.4434201,
2013/07/10,90266007.6661,41049.0,874138000.0,86.76,0.0,4825.0,35.04585076,
2013/07/11,101490088.975,39922.0,1003090000.0,88.98,0.0,4400.0,26.81968763,
2013/07/12,87293523.0284,41158.0,1014640000.0,93.59,0.0,4775.0,34.60590643,
2013/07/13,102286293.592,48827.0,1072140000.0,98.13,0.0,4000.0,30.88380562,
2013/07/14,81225811.1831,39681.0,1126260000.0,94.69,0.0,3800.0,34.09145753,
2013/07/15,59123636.4679,33651.0,1068520000.0,98.4,0.0,4100.0,22.1297315,
2013/07/16,55186568.3122,36473.0,1129260000.0,97.45,0.0,4325.0,23.2125662,
2013/07/17,86840086.5327,39230.0,1104760000.0,98.5,0.0,4100.0,34.64459148,
2013/07/18,92121406.0917,40548.0,1125660000.0,90.58,0.0,4250.0,34.35175156,
2013/07/19,85517579.3839,41363.0,1029670000.0,92.17,0.0,4325.0,27.48021325,
2013/07/20,70976773.3416,37055.0,1052140000.0,89.39,0.0,4225.0,32.10967148,
2013/07/21,46635483.9179,33811.0,1027640000.0,90.76,0.0,4675.0,22.96289992,
2013/07/22,39773632.4025,35263.0,1053000000.0,91.61,0.0,4850.0,24.64534852,
2013/07/23,79041872.0366,38203.0,1048820000.0,95.56,0.0,4400.0,22.77125664,
2013/07/24,90184298.5063,39152.0,1094490000.0,94.51,0.0,3575.0,31.28714746,
2013/07/25,74363957.3215,40214.0,1082800000.0,96.9,0.0,3925.0,33.70948583,
2013/07/26,70732617.3168,42235.0,1111160000.0,96.02,0.0,3425.0,34.44198333,
2013/07/27,75169882.8846,39901.0,1100900000.0,94.12,0.0,4375.0,22.03109172,
2013/07/28,48121446.9754,36626.0,1082750000.0,99.76,0.0,4200.0,31.41478594,
2013/07/29,49592389.5387,33147.0,1131340000.0,101.2,0.0,4425.0,20.28278282,
2013/07/30,80044085.6278,44648.0,1164940000.0,107.99,0.0,4350.0,32.816041,
2013/07/31,98039497.4975,39903.0,1239630000.0,106.09,0.0,4625.0,35.33521807,
2013/08/01,91529661.7485,51580.0,1220190000.0,104.0,0.0,4800.0,45.75584981,
2013/08/02,109890010.774,48467.0,1205070000.0,104.5,0.0,4850.0,32.62343537,
2013/08/03,88596216.0053,50759.0,1201490000.0,104.0,0.0,4600.0,39.86644539,
2013/08/04,69841305.9288,46711.0,1207100000.0,105.14,0.0,4250.0,26.82670848,
2013/08/05,51518762.144,46054.0,1209520000.0,106.22,0.0,4400.0,33.64238002,
2013/08/06,79583066.2899,47983.0,1228440000.0,106.75,0.0,4875.0,26.92411131,
2013/08/07,75111238.5564,52043.0,1229100000.0,106.75,0.0,4600.0,40.48977578,
2013/08/08,75918308.7978,56974.0,1229100000.0,103.0,0.0,4575.0,30.50863112,
2013/08/09,73788415.8062,56992.0,1187920000.0,102.8,0.0,5000.0,49.88366029,
2013/08/10,60374085.0573,52486.0,1185310000.0,103.0,0.0,5150.0,44.97811212,
2013/08/11,51191177.3625,52316.0,1188150000.0,105.0,0.0,4925.0,30.09904246,
2013/08/12,43098546.2071,39459.0,1211790000.0,106.64,0.0,5350.0,32.89432334,
2013/08/13,76152393.669,47995.0,1235340000.0,109.0,0.0,5850.0,25.2498706,
2013/08/14,133455553.761,51711.0,1265450000.0,112.56,0.0,4700.0,29.03962614,
2013/08/15,146003806.607,51140.0,1300660000.0,109.99,0.0,3950.0,43.68051202,
2013/08/16,92968634.3498,59689.0,1271470000.0,108.99,0.0,4250.0,64.33394174,
2013/08/17,115441695.68,68632.0,1260350000.0,113.5,0.0,4225.0,45.1878648,
2013/08/18,106546006.311,55848.0,1304320000.0,113.5,0.0,4550.0,28.10946064,
2013/08/19,90352235.7405,55561.0,1312160000.0,119.0,0.0,5000.0,46.4707411,
2013/08/20,121770720.82,70647.0,1377730000.0,121.2,0.0,4500.0,38.02368753,
2013/08/21,106633408.773,64526.0,1403890000.0,123.3,0.0,4450.0,45.04735972,
2013/08/22,151231260.616,63259.0,1428700000.0,121.15,0.0,5100.0,34.16427786,
2013/08/23,92166554.911,63946.0,1414290000.0,118.5,0.0,5275.0,37.27870579,
2013/08/24,90510988.2942,57493.0,1374420000.0,120.05,0.0,5350.0,34.30541551,
2013/08/25,69730638.7762,51291.0,1387640000.0,122.11,0.0,4550.0,28.25622737,
2013/08/26,63200042.7241,44977.0,1417200000.0,120.06,0.0,3675.0,30.69672002,
2013/08/27,75915673.0298,54694.0,1394010000.0,126.5,0.0,4200.0,39.9253731,
2013/08/28,99950428.0233,60616.0,1468960000.0,122.62,0.0,4150.0,39.9551381,
2013/08/29,91469348.9018,63043.0,1424680000.0,122.39,0.0,4250.0,259.97574356,
2013/08/30,87935475.3916,62066.0,1422120000.0,133.49,0.0,5050.0,28.62638351,
2013/08/31,100071685.647,61509.0,1547640000.0,135.35,0.0,4750.0,43.30919043,
2013/09/01,91973413.4536,50294.0,1572230000.0,138.34,0.0,5500.0,31.7263961,
2013/09/02,76333680.3213,44861.0,1613600000.0,135.85,0.0,5475.0,25.05146361,
2013/09/03,81705725.5225,50603.0,1579180000.0,136.77,0.0,5700.0,47.06920633,
2013/09/04,100237206.85,50369.0,1590550000.0,126.74,0.0,4650.0,30.7920692,
2013/09/05,95502086.1679,51090.0,1477250000.0,126.43,0.0,4300.0,24.93143079,
2013/09/06,92823008.958,61496.0,1474670000.0,119.15,0.0,4350.0,34.27211578,
2013/09/07,81550172.5604,62282.0,1386610000.0,124.15,0.0,4725.0,32.63392986,
2013/09/08,73093938.0217,52520.0,1448180000.0,121.66,0.0,3800.0,26.90479469,
2013/09/09,47562047.5329,46494.0,1422180000.0,127.11,0.0,3800.0,25.31622568,
2013/09/10,63653951.4303,55922.0,1485960000.0,125.91,0.0,4900.0,29.57194144,
2013/09/11,74025166.4666,54066.0,1470450000.0,135.25,0.0,4800.0,27.20827314,
2013/09/12,77663652.2272,49343.0,1583960000.0,133.13,0.0,5125.0,23.02719024,
2013/09/13,80696044.6182,51395.0,1552880000.0,134.98,0.0,5075.0,29.12791881,
2013/09/14,82136075.6754,45362.0,1579050000.0,129.22,0.0,5125.0,21.41425676,
2013/09/15,68159509.4814,46737.0,1514140000.0,130.37,0.0,5575.0,21.86850927,
2013/09/16,47709310.6325,48661.0,1531820000.0,131.72,0.0,4450.0,25.09068677,
2013/09/17,72604158.4495,49431.0,1540880000.0,131.66,0.0,4050.0,30.18928293,
2013/09/18,81192409.0819,67604.0,1542870000.0,131.47,0.0,4400.0,95.5580382,
2013/09/19,86050640.6381,63322.0,1539430000.0,129.65,0.0,4000.0,309.86955795,
2013/09/20,92234444.3687,58698.0,1520470000.0,127.04,0.0,4725.0,99.36871364,
2013/09/21,92836776.9816,59238.0,1488870000.0,127.43,0.0,5000.0,36.0643538,
2013/09/22,60924416.6103,53331.0,1500260000.0,129.12,0.0,4725.0,26.89067229,
2013/09/23,51684695.2384,51409.0,1513940000.0,125.95,0.0,5050.0,26.74028812,
2013/09/24,99848750.2605,61049.0,1480210000.0,127.25,0.0,5500.0,36.59674869,
2013/09/25,128474902.937,64682.0,1496510000.0,128.22,0.0,5050.0,32.47423176,
2013/09/26,92771713.959,56132.0,1506920000.0,128.38,0.0,5275.0,29.89207668,
2013/09/27,80999188.609,52345.0,1516020000.0,133.78,0.0,4175.0,27.27674821,
2013/09/28,91177924.6891,50622.0,1573400000.0,134.78,0.0,4450.0,83.26532184,
2013/09/29,74407556.3689,44892.0,1587290000.0,137.34,0.0,4400.0,27.8548681,
2013/09/30,67284487.6952,41536.0,1614350000.0,133.0,0.0,4325.0,19.56024562,
2013/10/01,91452761.0907,43296.0,1562270000.0,132.18,0.0,3875.0,26.87542642,
2013/10/02,112366675.047,53695.0,1555470000.0,114.13,0.0,4800.0,35.42343641,
2013/10/03,134973606.484,63779.0,1348700000.0,123.63,0.0,4650.0,45.5006027,
2013/10/04,115446693.059,59453.0,1454900000.0,129.01,0.0,5025.0,31.1382287,
2013/10/05,94730461.8657,53844.0,1517020000.0,128.55,0.0,4450.0,32.64055375,
